,pM,pML_1,pML_2,pML_3,pML_4,pML_5,pML_6,pUL_1,pUL_2,pUL_3,pUL_4,pUL_5,pUL_6,llh
0,0.6299744335937127,0.47331159360926783,0.6743010016550022,0.18250783477771942,0.7419107241342743,0.7887422553025408,0.36663764160999696,0.4988052543712867,0.49940917627628795,0.4844067580181584,0.5739472245875605,0.45376182623639294,0.4594607469682242,-430.15163080134863
1,0.5769068171584308,0.2635215006698347,0.6417044170534739,0.5866054427548718,0.7411208566461405,0.3314739175930975,0.6390277391721624,0.5711000213252013,0.5130427397861357,0.4410907120911783,0.6115932706646243,0.5383685686995506,0.4295059655782474,-428.66583946068965
2,0.6473491167758803,0.49290619212983267,0.3545915219987327,0.4239070412313163,0.731891176941408,0.3763776924616717,0.612957424372133,0.5748205885943296,0.6386795597487536,0.4342023901942145,0.5859126766445757,0.5790334317820813,0.45892597803136187,-436.7737484084265
3,0.7346750942760072,0.598942531241471,0.6013408803123257,0.47668329780231916,0.44649133709357386,0.6455872629153965,0.7227717623568728,0.49961870691073434,0.5069017321118371,0.4526749977601316,0.5169557687944379,0.48384714718165606,0.4548052540604146,-429.7683388074625
4,0.8777955456332591,0.07895355201872896,0.6925103325764432,0.570252190935558,0.6614409666232985,0.7128885956139969,0.8840756815964331,0.5299046632439013,0.5012964585772727,0.4554356327162812,0.6219041993565425,0.455920665521804,0.4635930232519224,-428.1303655028665
5,0.7341990204490856,0.49263703391422625,0.508833251830642,0.6874229579221681,0.9179859508210564,0.5262964415748362,0.6009723825634061,0.456904583353582,0.4689115745760519,0.5912118402894593,0.4636188461717038,0.46003037484361375,0.381036816358871,-438.7648274838013
6,0.7811095680344144,0.22903018543108916,0.7364607252082006,0.20717679949652884,0.6825990321568876,0.7465820150801513,0.9117632569314505,0.48583007230348363,0.5053757274287813,0.45117411399943225,0.6092570371118429,0.5769485422965241,0.41371465308098293,-430.01141685877417
7,0.9073020098081215,0.35356497334243503,0.7014534413333378,0.6299437353296727,0.5924566785928886,0.7600409614672221,0.871504972071644,0.5283375662549173,0.47525955493588723,0.5863018588383991,0.5886955107469543,0.40434800861500203,0.41549610314452873,-429.0784738545448
8,0.7603650767666996,0.4262668254174865,0.8947903480222625,0.4722617235365822,0.8503856295216322,0.5061964212552851,0.7643867184069,0.5690405734743685,0.4333350365625053,0.41027478152270686,0.47959530380295645,0.3935008523063149,0.4421135702120971,-433.5571865529335
9,0.8146188164285353,0.2711830457595582,0.8677049958507802,0.5508523917764369,0.6810351798846561,0.747916976602313,0.9848966274540389,0.5512588038291422,0.5954652433316657,0.4692401106189575,0.5676020502746436,0.40962298004213393,0.40137023939036154,-431.6955476416274
