,pM,pML_1,pML_2,pML_3,pML_4,pUL_1,pUL_2,pUL_3,pUL_4
0,0.5119471671719875,0.17511789638255165,0.25053860476257195,0.12102255981026624,0.29744661967854114,0.10136941351587585,0.11753088945094653,0.16838523742115608,0.28794792942633923
1,0.5166429082509301,0.15150659660350937,0.11008267430209868,0.17374410753911332,0.13787325031850142,0.0180284606424862,0.14574167083145095,0.13551102335526705,0.14059426246269244
2,0.47273757353525186,0.12023456252835027,0.06913224100303748,0.24996023197997377,0.11316674232150714,0.09737016331003064,0.12320833745033043,0.1792199200713296,0.17811584442920614
3,0.3050174298028411,0.06354578458273097,0.15935441389864963,0.2740590862954003,0.10914013053651037,0.11860469259874183,0.029081389403932515,0.186780847409478,0.17232214227574608
4,0.03061764225897796,0.41763194124587194,0.9331970823609502,0.6601075189858431,0.7343946195748432,0.08841781909601361,0.10538287383300265,0.19911433210166218,0.1827994757691831
5,0.000983796824781017,0.8264105434792401,0.21308438525015033,0.9303261712657656,0.15430641930138858,0.11455075653340988,0.06163985128744858,0.18201400407134424,0.17888506219664432
6,0.022550090087449643,0.02190839982724507,0.20356823559526066,0.7322234752155805,0.6202295801801174,0.11058257729739226,0.09883291174311744,0.16825068032995968,0.16853588057909447
7,0.005236043165710177,0.8056155412074064,0.6076321043742985,0.9936285691335289,0.22759559389496725,0.09654016438087337,0.15089606563191504,0.12005567256736262,0.10325908111206586
8,0.014402477015498,0.19577999228089024,0.617525602628423,0.9136245705263625,0.522985366269475,0.16135524443149427,0.11541076556566882,0.16799468416020086,0.11355413637488575
9,0.013449713058925743,0.9297538695842444,0.5472410860833669,0.10341352877155947,0.23135468791019337,0.10890682074064456,0.12029946847376478,0.1312470965045425,0.1147220209539135
