,pM,pML_1,pML_2,pML_3,pML_4,pUL_1,pUL_2,pUL_3,pUL_4,llh
0,0.46122930196456524,0.07562241807991255,0.6462340855674933,0.6000298470286418,0.44156563849927155,0.18324284306985508,0.08961289926524937,0.11427285279177501,0.11137644312783995,-185.22434179299202
1,0.49657327855591016,0.2709321321272916,0.5486111353665941,0.47580590951777285,0.21610590195974577,0.08156299183009687,0.08917801377022798,0.19899747423498093,0.0850838143358936,-184.08009769190704
2,0.5836725817900246,0.4567999853349442,0.3429345743849199,0.40671366286223454,0.10701130749680814,0.12594438093533478,0.11437566067644321,0.11618630275190225,0.09453972598319296,-177.5778092471479
3,0.2757381776790867,0.2346116951212358,0.07433839964386603,0.49382952722907586,0.09076816060011512,0.15565573682723166,0.10796331067793108,0.11489628871450666,0.17739060944650217,-179.11265547084128
4,0.4674828490775838,0.08773911252594913,0.40284971203001574,0.45851124916348485,0.2357483938050496,0.2915588553050146,0.18451889242420202,0.2228395020917103,0.11270131249019863,-179.66696592784206
5,0.15030752168884673,0.04896244695247163,0.867521362549274,0.45568788806514404,0.05951842905902926,0.15870201504733944,0.14748496776904987,0.20547555337295684,0.05904836056310639,-169.20258386196102
6,0.28855740464564433,0.3449648454235069,0.9214466439927597,0.314579328375076,0.14134168670224986,0.15387848894313091,0.1626028850724288,0.18726866899324185,0.10224534750389902,-169.02290790883563
7,0.06670831224956407,0.16443242313983736,0.24062936194473672,0.15420322131202335,0.34942247872603693,0.06917234314769993,0.11198211193510345,0.21580386825542922,0.10228578828467434,-178.50234135409644
8,0.42337804099282805,0.4928094723987048,0.14634831175138227,0.20282353327698882,0.41286499052083353,0.19245910528628238,0.14898962027491008,0.17305227477995477,0.15240555349060045,-174.12356709609264
9,0.06979278166628458,0.0866404243072098,0.35710760718914974,0.029022224591672932,0.9782726562388182,0.08926385999000137,0.1456350588209986,0.17696516872140883,0.12063498223209923,-169.3770163108373
